epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49976,1.34887,2.20544,4.37497,1.19934,0.00319,0.95833,0.29186,0.21969,0.00333,1,0.31362,0.2527,0.74442,1.14901,3.30088,0.89019,0.00022,0.00022,0.00022
2,5.6847,0.97157,1.17103,2.54486,0.90284,1,0.30813,0.73254,0.51593,1,0.30813,0.77178,0.60288,0.83589,1.17707,2.91182,0.8698,0.000450892,0.000450892,0.000450892
3,7.8722,0.82266,0.89139,1.7399,0.8646,0.00333,1,0.11603,0.10281,0.00333,1,0.11836,0.09931,0.69795,0.90672,3.19574,0.8734,0.00067228,0.00067228,0.00067228
4,9.54828,0.837,1.00477,1.64264,0.8942,0.00333,1,0.34471,0.24173,0.00333,1,0.3623,0.27379,0.7013,0.82399,3.10241,0.87464,0.000884164,0.000884164,0.000884164
5,10.8163,0.82208,0.79339,1.35916,0.9015,1,0.11991,0.24533,0.1857,1,0.11991,0.24948,0.20226,0.79126,1.14441,3.12192,0.89589,0.00108654,0.00108654,0.00108654
6,11.9842,0.80744,0.76601,1.39334,0.89063,0.77873,0.29345,0.3999,0.28402,0.77873,0.29345,0.40348,0.32975,0.79684,1.0942,2.97171,0.89999,0.00127942,0.00127942,0.00127942
7,13.3499,0.75021,0.69817,1.32149,0.87474,1,0.55578,0.87938,0.72211,1,0.55578,0.87962,0.7629,0.76421,0.91623,2.59118,0.94199,0.00146279,0.00146279,0.00146279
8,14.5839,0.79641,0.74904,1.31993,0.90018,1,0.63244,0.8763,0.71635,1,0.63244,0.87637,0.74312,0.80812,0.95693,2.64847,0.96394,0.00163666,0.00163666,0.00163666
9,15.787,0.73335,0.70524,1.29009,0.90123,0.9808,0.91667,0.93889,0.78227,0.9808,0.91667,0.93889,0.79698,0.75046,0.95544,1.67484,0.91809,0.0016832,0.0016832,0.0016832
10,16.9999,0.76283,0.67496,1.27269,0.89026,0.91346,0.87976,0.94751,0.76809,0.91346,0.87976,0.94751,0.79319,0.78981,0.99731,1.76082,0.93392,0.0016436,0.0016436,0.0016436
11,18.1777,0.77837,0.67064,1.23692,0.89914,0.90436,0.95833,0.96511,0.71378,0.90436,0.95833,0.96511,0.79131,0.79756,0.9547,1.20567,0.91916,0.001604,0.001604,0.001604
12,19.3875,0.7492,0.65297,1.17728,0.89807,0.89932,0.91667,0.95622,0.73701,0.89932,0.91667,0.95622,0.78067,0.80791,1.03735,1.20141,0.92539,0.0015644,0.0015644,0.0015644
13,21.4193,0.72942,0.64946,1.11603,0.86649,1,0.99038,0.995,0.7993,1,0.99038,0.995,0.84008,0.68495,0.76643,1.11784,0.90139,0.0015248,0.0015248,0.0015248
14,23.4327,0.66638,0.63331,1.06217,0.88282,0.99879,1,0.995,0.80668,0.99879,1,0.995,0.85785,0.69416,0.74863,0.99491,0.90046,0.0014852,0.0014852,0.0014852
15,25.4725,0.67482,0.60496,1.00216,0.8776,0.99649,1,0.995,0.79611,0.99649,1,0.995,0.88619,0.73955,0.75039,0.89614,0.90031,0.0014456,0.0014456,0.0014456
16,27.5038,0.70242,0.74226,0.99902,0.8843,1,0.99785,0.995,0.8423,1,0.99785,0.995,0.88596,0.72057,0.77303,0.86963,0.88498,0.001406,0.001406,0.001406
17,29.5814,0.68989,0.55842,0.97753,0.88345,1,0.90694,0.98885,0.8549,1,0.90694,0.98885,0.88366,0.60385,0.76973,0.84236,0.874,0.0013664,0.0013664,0.0013664
18,31.6121,0.65487,0.5925,0.89106,0.88351,0.99628,0.91667,0.99026,0.87989,0.99628,0.91667,0.99026,0.87961,0.60179,0.68045,0.78955,0.87786,0.0013268,0.0013268,0.0013268
19,33.8398,0.68606,0.65383,0.90287,0.87732,1,0.95517,0.9934,0.86218,1,0.95517,0.9934,0.88561,0.60305,0.67021,0.74231,0.88525,0.0012872,0.0012872,0.0012872
20,35.9005,0.67498,0.71828,0.89488,0.86219,1,0.95492,0.9934,0.87405,1,0.95492,0.9934,0.8723,0.60539,0.71178,0.71544,0.90214,0.0012476,0.0012476,0.0012476
21,37.9502,0.59378,0.56677,0.84926,0.86576,0.99791,0.95833,0.99192,0.86846,0.99791,0.95833,0.99192,0.87627,0.60678,0.87648,0.65089,0.91174,0.001208,0.001208,0.001208
22,39.9336,0.61585,0.61594,0.82623,0.85152,1,0.95447,0.99192,0.86845,1,0.95447,0.99192,0.8793,0.59899,0.79661,0.67134,0.89519,0.0011684,0.0011684,0.0011684
23,41.9815,0.58836,0.59727,0.80372,0.85205,0.95359,0.95833,0.99026,0.88601,0.95359,0.95833,0.99026,0.86886,0.54954,0.62895,0.63199,0.86208,0.0011288,0.0011288,0.0011288
24,43.9816,0.5786,0.55404,0.78173,0.84472,1,0.95416,0.99192,0.86945,1,0.95416,0.99192,0.85359,0.57702,0.64823,0.65659,0.85471,0.0010892,0.0010892,0.0010892
25,45.9971,0.57049,0.57374,0.78145,0.83079,1,0.95583,0.9934,0.87332,1,0.95583,0.9934,0.87953,0.56902,0.68262,0.63249,0.85199,0.0010496,0.0010496,0.0010496
26,47.9972,0.58243,0.61394,0.76197,0.81767,1,0.95503,0.99056,0.87162,1,0.95503,0.99056,0.89869,0.53798,0.6543,0.61865,0.84815,0.00101,0.00101,0.00101
27,50.0483,0.55766,0.51768,0.69333,0.84651,1,0.95363,0.99056,0.89004,1,0.95363,0.99056,0.88389,0.52844,0.56762,0.60033,0.84612,0.0009704,0.0009704,0.0009704
